date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:24	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-61ad422b5ba63%22	https://www.imagetotext.io/robots.txt		(from )
14:16:24	89334/89334	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:25%20GMT	https://www.imagetotext.io/	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/index.html	(from )
14:16:24	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223c2e-61ad422b5ba63%22	https://www.imagetotext.io/favicon.ico	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/favicon.ico	(from https://www.imagetotext.io/)
14:16:25	87039/87039	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:26%20GMT	https://www.imagetotext.io/es	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/es.html	(from https://www.imagetotext.io/)
14:16:26	86451/86451	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:26%20GMT	https://www.imagetotext.io/id	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/id.html	(from https://www.imagetotext.io/)
14:16:26	86671/86671	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:27%20GMT	https://www.imagetotext.io/da	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/da.html	(from https://www.imagetotext.io/)
14:16:26	87286/87286	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:27%20GMT	https://www.imagetotext.io/de	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/de.html	(from https://www.imagetotext.io/)
14:16:27	91390/91390	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:27%20GMT	https://www.imagetotext.io/fr	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/fr.html	(from https://www.imagetotext.io/)
14:16:27	92758/92758	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:28%20GMT	https://www.imagetotext.io/it	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/it.html	(from https://www.imagetotext.io/)
14:16:27	86797/86797	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:28%20GMT	https://www.imagetotext.io/pl	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/pl.html	(from https://www.imagetotext.io/)
14:16:28	87309/87309	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:28%20GMT	https://www.imagetotext.io/ro	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/ro.html	(from https://www.imagetotext.io/)
14:16:28	86802/86802	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:29%20GMT	https://www.imagetotext.io/sv	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/sv.html	(from https://www.imagetotext.io/)
14:16:28	88433/88433	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:29%20GMT	https://www.imagetotext.io/cs	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/cs.html	(from https://www.imagetotext.io/)
14:16:29	92964/92964	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:29%20GMT	https://www.imagetotext.io/ru	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/ru.html	(from https://www.imagetotext.io/)
14:16:29	95617/95617	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:30%20GMT	https://www.imagetotext.io/th	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/th.html	(from https://www.imagetotext.io/)
14:16:29	87742/87742	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:30%20GMT	https://www.imagetotext.io/ko	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/ko.html	(from https://www.imagetotext.io/)
14:16:30	85380/85380	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:31%20GMT	https://www.imagetotext.io/ch	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/ch.html	(from https://www.imagetotext.io/)
14:16:30	87591/87591	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:31%20GMT	https://www.imagetotext.io/pt	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/pt.html	(from https://www.imagetotext.io/)
14:16:31	68799/68799	---M-Z	200	added ('OK')	text/css	etag:%2210cbf-61ad422b77f88-gzip%22	https://www.imagetotext.io/web_assets/frontend/css/style.css?v3.15.3	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/css/stylec934.css	(from https://www.imagetotext.io/)
14:16:32	37256/37256	---M-Z	200	added ('OK')	application/javascript	etag:%2260c4bff2-2f58%22	https://cdnjs.cloudflare.com/ajax/libs/cropperjs/1.5.12/cropper.min.js	C:/My%20Web%20Sites/shoibwebproject/cdnjs.cloudflare.com/ajax/libs/cropperjs/1.5.12/cropper.min.js	(from https://www.imagetotext.io/)
14:16:33	3742/3742	---M-Z	200	added ('OK')	text/css	etag:%2260c4bff2-4df%22	https://cdnjs.cloudflare.com/ajax/libs/cropperjs/1.5.12/cropper.min.css	C:/My%20Web%20Sites/shoibwebproject/cdnjs.cloudflare.com/ajax/libs/cropperjs/1.5.12/cropper.min.css	(from https://www.imagetotext.io/)
14:16:33	22711/22711	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258b7-61c6da1f8bff7%22	https://cdn.snigelweb.com/adengine/imagetotext.io/loader.js	C:/My%20Web%20Sites/shoibwebproject/cdn.snigelweb.com/adengine/imagetotext.io/loader.js	(from https://www.imagetotext.io/)
14:16:33	2599/2599	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a27-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/logo.svg?v=1.3	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/logoe67d.svg	(from https://www.imagetotext.io/)
14:16:34	80731/80731	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:34%20GMT	https://www.imagetotext.io/jpg-to-word	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/jpg-to-word.html	(from https://www.imagetotext.io/)
14:16:35	78141/78141	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:35%20GMT	https://www.imagetotext.io/pdf-to-word	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/pdf-to-word.html	(from https://www.imagetotext.io/)
